Location_Name,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Vaccine_type,Booking_walk,Days,Blank,Age,
Sam's I.D.A. Pharmacy,Pharmacy,"1920 Yonge Street, Toronto, ON",Toronto,Ontario,M4S 3E2,CA,43.6987992,-79.3972615,416-483-3003,www.guardian-ida-pharmacies.ca/en/ontario/toronto/sams-ida-pharmacy-7008620,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Sanomed Pharmacy & Compounding Centre,Pharmacy,"1000 Bay Street, Toronto, ON",Toronto,Ontario,M5S 3A8,CA,43.6650475,-79.387829,416-923-7770,sanomedpharmacy.ca,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 10 a.m. to 4 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"1533 Jane Street, Toronto, ON",Toronto,Ontario,M9N 2R2,CA,43.6971001,-79.5014085,,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 9 p.m.
Sunday: 10 a.m. to 6 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"1515 Steeles Avenue East, Toronto, ON",Toronto,Ontario,M2M 3Y7,CA,43.8046408,-79.3846555,,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 10 p.m.
Saturday: 9 a.m. to 10 p.m.
Sunday: 10 a.m. to 10 p.m",-,40+,
Shoppers Drug Mart,Pharmacy,"4865 Leslie Street, Toronto, ON",Toronto,Ontario,M2J 2K8,CA,43.7792498,-79.3645956,416-493-7977,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"70 Eglinton Square Boulevard, Toronto, ON",Toronto,Ontario,M1L 2K1,CA,43.724034,-79.300677,416-757-1131,covid-19.shoppersdrugmart.ca/en,Pfizer,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,18+,
Shoppers Drug Mart,Pharmacy,"1473 Queen Street West, Toronto, ON",Toronto,Ontario,M6R 1A1,CA,43.639897,-79.4390485,416-530-2799,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 9 a.m. to 9 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"1033 Queen Street West, Unit A, Toronto, ON",Toronto,Ontario,M6J 0A6,CA,43.6438493,-79.419533,416-516-5756,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m,-,40+,
Shoppers Drug Mart,Pharmacy,"18 Jarvis Street, Toronto, ON",Toronto,Ontario,M5E 1N1,CA,43.6507157,-79.3721822,416-203-3700,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"333 Bay Street, Toronto, ON",Toronto,Ontario,M5H 2R2,CA,43.6503406,-79.3805207,416-304-1151,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Friday: 9 a.m. to 4 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"235 Danforth Avenue, Unit 101, Toronto, ON",Toronto,Ontario,M4K 1N2,CA,43.6767537,-79.3553553,416-778-7780,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday - Sunday: 10 a.m. to 3 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"260 Queen Street West, Toronto, ON",Toronto,Ontario,M5V 1Z8,CA,43.6498673,-79.3918351,416-979-3903,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"465 Yonge Street, Toronto, ON",Toronto,Ontario,M4Y 1X4,CA,43.6618227,-79.3830287,416-408-4000,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"181 Bay Street, Toronto, ON",Toronto,Ontario,M5J 2T3,CA,43.6469771,-79.379275,416-777-1300,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Friday: 9 a.m. to 5 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"55 Bloor Street West, Toronto, ON",Toronto,Ontario,M4W 1A5,CA,43.6695878,-79.3886243,416-925-6949,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday - Sunday: 10 a.m. to 4 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"812 O'Connor Drive, Toronto, ON",Toronto,Ontario,M4B 2S9,CA,43.7058539,-79.3128279,416-285-5822,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 9 p.m.
Sunday: 10 a.m. to 6 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"524 Queen Street West, Toronto, ON",Toronto,Ontario,M5V 2B5,CA,43.647818,-79.4023038,416-703-0228,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"2494 Danforth Avenue, Toronto, ON",Toronto,Ontario,M4C 1K9,CA,43.6882324,-79.3035346,416-698-1888,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 9 p.m.
Sunday: 10 a.m. to 6 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"1840 Eglinton Avenue West, Toronto, ON",Toronto,Ontario,M6E 2J4,CA,43.6958261,-79.4509313,416-256-6199,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"2343 Eglinton Avenue West, Toronto, ON",Toronto,Ontario,M6E 2L6,CA,43.6926252,-79.4627417,416-651-7111,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"200 Bay Street, Toronto, ON",Toronto,Ontario,M5J 2J3,CA,43.6465177,-79.3800808,416-865-0001,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 5 p.m.
Saturday: 10 a.m. to 4 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"4700 Keele Street, Toronto, ON",Toronto,Ontario,M3J 1P3,CA,43.7742707,-79.4931323,416-514-0993,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 10 a.m. to 6 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"1860 Bayview Avenue, Unit 101, Toronto, ON",Toronto,Ontario,M4G 0C3,CA,43.7140566,-79.3778586,416-482-9841,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"3401 Dufferin Street, Toronto, ON",Toronto,Ontario,M6A 2T9,CA,43.7251083,-79.4528087,416-789-1201,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 11 a.m. to 7 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"2440 Dundas Street West, Toronto, ON",Toronto,Ontario,M6P 1W9,CA,43.6592201,-79.4530285,416-536-0220,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 8 p.m.
Sunday: 9 a.m. to 6 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"45 Overlea Boulevard, Toronto, ON",Toronto,Ontario,M4H 1C3,CA,43.7057953,-79.3460276,416-421-5141,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 12 a.m. (midnight)
Saturday: 9 a.m. to 12 a.m. (midnight)
Sunday: 10 a.m. to 12 a.m. (midnight)",-,40+,
Shoppers Drug Mart,Pharmacy,"761 King Street West, Toronto, ON",Toronto,Ontario,M5V 1N4,CA,43.6431005,-79.4058916,416-306-0311,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"725 College Street, Toronto, ON",Toronto,Ontario,M6G 1C5,CA,43.654263,-79.4189143,416-534-2375,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"2528 Bayview Avenue, Toronto, ON",Toronto,Ontario,M2L 1A9,CA,43.7470647,-79.3849562,416-444-8411,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 10 p.m.
Saturday - Sunday: 9 a.m. to 10 p.m",-,40+,
Shoppers Drug Mart,Pharmacy,"2047 Avenue Road, Toronto, ON",Toronto,Ontario,M5M 4A7,CA,43.7362764,-79.4197057,416-789-1122,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 9 p.m.
Saturday - Sunday: 8 a.m. to 7 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"3366 Yonge Street, Toronto, ON",Toronto,Ontario,M4N 2M7,CA,43.7323488,-79.4045109,416-483-3018,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"69 Yonge Street, Toronto, ON",Toronto,Ontario,M5E 1K3,CA,43.649001,-79.3776402,416-364-1948,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 7 p.m.
Saturday: 9 a.m. to 4 p.m.
Sunday: 11 a.m. to 4 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"565 Sherbourne Street, Unit 40, Toronto, ON",Toronto,Ontario,M4X 1W7,CA,43.6701586,-79.3756379,416-963-9495,covid-19.shoppersdrugmart.ca/en,Pfizer,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m,-,18+,
Shoppers Drug Mart,Pharmacy,"20 Bloor Street East, Toronto, ON",Toronto,Ontario,M4W 3G7,CA,43.6708929,-79.3867082,416-967-7787,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 6 p.m.
Saturday - Sunday: 11 a.m. to 6 p.m",-,40+,
Shoppers Drug Mart,Pharmacy,"1859 Leslie Street, Toronto, ON",Toronto,Ontario,M3B 2M1,CA,43.754517,-79.359184,416-383-9599,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"236 Bloor Street West, Toronto, ON",Toronto,Ontario,M5S 1T8,CA,43.6683598,-79.3967611,416-927-0440,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"958 Bloor Street West, Toronto, ON",Toronto,Ontario,M6H 1L6,CA,43.6616319,-79.428763,416-538-0105,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 9 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"620 Keele Street, Toronto, ON",Toronto,Ontario,M6N 3E2,CA,43.6717349,-79.4676787,416-766-3095,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 10 p.m.
Saturday: 9 a.m. to 10 p.m.
Sunday: 9 a.m. to 6 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"292 Dupont Street, Toronto, ON",Toronto,Ontario,M5R 1V9,CA,43.6749503,-79.4080207,416-972-0232,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"1015 Lakeshore Boulevard East, Toronto, ON",Toronto,Ontario,M4M 1B4,CA,43.6582347,-79.3287763,416-461-0565,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"2000 Queen Street East, Toronto, ON",Toronto,Ontario,M4L 1J2,CA,43.6701805,-79.3002078,416-694-0471,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"1507 Yonge Street, Toronto, ON",Toronto,Ontario,M4T 1Z2,CA,43.6893843,-79.3941999,416-923-7700,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"759 Mount Pleasant Road, Toronto, ON",Toronto,Ontario,M4S 2N4,CA,43.7077315,-79.3895818,416-482-7100,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"755 Danforth Avenue, Toronto, ON",Toronto,Ontario,M4J 1L2,CA,43.6791604,-79.3422515,416-461-7533,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"180 Danforth Avenue, Toronto, ON",Toronto,Ontario,M4K 1N1,CA,43.6768251,-79.3570281,416-466-5698,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m,-,40+,
Shoppers Drug Mart,Pharmacy,"66 Wellington Street West, Unit 10, Toronto, ON",Toronto,Ontario,M5K 1A1,CA,43.6476696,-79.3810141,416-365-0927,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Friday: 8 a.m. to 5 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"1500 Woodbine Avenue, Toronto, ON",Toronto,Ontario,M4C 4G9,CA,43.6992126,-79.3193571,416-429-2529,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,24 HOURS/7 DAYS,-,40+,
Shoppers Drug Mart,Pharmacy,"523 St. Clair Avenue West, Toronto, ON",Toronto,Ontario,M6C 1A1,CA,43.6827442,-79.4191262,416-538-1155,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"2223 Bloor Street West, Toronto, ON",Toronto,Ontario,M6S 1N7,CA,43.6506064,-79.4764527,416-769-1105,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 10 p.m.
Saturday: 8 a.m. to 10 p.m.
Sunday: 9 a.m. to 10 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"1500 Avenue Road, Toronto, ON",Toronto,Ontario,M5M 3X2,CA,43.722525,-79.4161207,416-781-6146,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,24 HOURS/7 DAYS,-,40+,
Shoppers Drug Mart,Pharmacy,"1084 Wilson Avenue, Toronto, ON",Toronto,Ontario,M3K 1G6,CA,43.7282615,-79.4808439,416-633-9884,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 12 a.m. (midnight)
Saturday: 8 a.m. to 12 a.m. (midnight)
Sunday: 9 a.m. to 12 a.m. (midnight)",-,40+,
Shoppers Drug Mart,Pharmacy,"2345 Yonge Street, Toronto, ON",Toronto,Ontario,M4P 1E4,CA,43.7089492,-79.3978503,416-487-5411,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,24 HOURS/7 DAYS,-,40+,
Shoppers Drug Mart,Pharmacy,"970 Queen Street East, Toronto, ON",Toronto,Ontario,M4M 1J8,CA,43.6612056,-79.3406589,416-462-0062,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"279 Yonge Street, Toronto, ON",Toronto,Ontario,M5B 1N8,CA,43.6556497,-79.380301,416-591-1733,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"388 King Street West, Toronto, ON",Toronto,Ontario,M5V 1K2,CA,43.6462412,-79.3926619,416-597-6550,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"390 Queen's Quay West, Unit 110, Toronto, ON",Toronto,Ontario,M5V 3A6,CA,43.638124,-79.390814,416-260-2766,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"1090 King Street West, Toronto, ON",Toronto,Ontario,M6K 0C7,CA,43.6401606,-79.422434,416-977-4101,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"360A Bloor Street West, Toronto, ON",Toronto,Ontario,M5S 1X1,CA,43.6665441,-79.4050565,416-961-2121,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"1400 Dupont Street, Toronto, ON",Toronto,Ontario,M6H 2B2,CA,43.6667712,-79.4473799,416-532-9214,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"3446 Dundas Street West, Toronto, ON",Toronto,Ontario,M6S 2S1,CA,43.6661678,-79.4867346,416-766-8131,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"1027 Yonge Street, Toronto, ON",Toronto,Ontario,M4W 2K9,CA,43.6776412,-79.3894544,416-961-0155,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"1630 Danforth Avenue, Toronto, ON",Toronto,Ontario,M4C 1H6,CA,43.683901,-79.3221898,416-461-2453,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Snowden Pharmacy,Pharmacy,"264 Bloor Street West, Toronto, ON",Toronto,Ontario,M5S 1V8,CA,43.6675767,-79.4002614,416-922-2156,www.snowdoncompounding.com/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 6 p.m.
Saturday: 10 a.m. to 2 p.m.",-,40+,
Sobeys Pharmacy Rosebury,Pharmacy,"145 Marlee Avenue, Toronto, ON",Toronto,Ontario,M6B 3H3,CA,43.7028027,-79.4412533,416-781-0606,www.pharmacyappointments.ca,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Symington Pharmacy,Pharmacy,"333 Symington Avenue, Toronto, ON",Toronto,Ontario,M6P 3X1,CA,43.6664699,-79.4512356,416-533-9695,www.symingtonpharmacy.ca,AstraZeneca,Appoinment/Booking,"Monday - Thursday: 10 a.m. to 6 p.m.
Friday: 10 a.m. to 5:30 p.m.
Saturday: 10 a.m. to 3 p.m",-,40+,
The Medicine Shoppe Pharmacy,Pharmacy,"794 Sheppard Avenue East, Toronto, ON",Toronto,Ontario,M2K 1C3,CA,43.7701502,-79.3748452,416-222-7701,,AstraZeneca,Appoinment/Booking,"Monday: 10 a.m. to 5 p.m.
Tuesday: 10 a.m. to 5 p.m.
Wednesday: 10 a.m. to 4 p.m.
Thursday: 10 a.m. to 5 p.m.
Friday: 10 a.m. to 4 p.m.
Saturday: 11 a.m. to 2 p.m.",-,40+,
The Medicine Shoppe Pharmacy,Pharmacy,"2600 Eglinton Avenue West, Toronto, ON",Toronto,Ontario,M6M 1T5,CA,43.6908356,-79.4729896,416-651-6511,www.medicineshoppe.ca/en/ontario/toronto/the-medicine-shoppe-pharmacy-134-7014226,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 6 p.m.
Saturday: 9 a.m. to 1 p.m.",-,40+,
Total Health Pharmacy,Pharmacy,"997 Gerrard Street East, Toronto, ON",Toronto,Ontario,M4M 1Z4,CA,43.6685011,-79.3380405,647-351-3784,pharmaconnect.ca/Appointment/ff38dc2c-4b68-479a-a6a5-5c0f6bd992c5,AstraZeneca,Appoinment/Booking,"Monday - Friday: 10 a.m. to 6 p.m.
Saturday: 10 a.m. to 4 p.m.
",-,40+,
Uptown Pharmacy,Pharmacy,"243 Eglinton Avenue West, Toronto, ON",Toronto,Ontario,M4R 1B1,CA,43.7048167,-79.4066513,416-485-5005,www.bookmyshot.com/416-485-5005,AstraZeneca,Appoinment/Booking,"Sunday: closed
Monday: 9 a.m. to 6 p.m.
Tuesday: 9 a.m. to 7 p.m.
Wednesday - Friday: 9 a.m. to 6 p.m.
Saturday: 10 a.m. to 2 p.m.",-,40+,
Victoria Park Pharmacy,Pharmacy,"1314 Victoria Park Avenue, Toronto, ON",Toronto,Ontario,M4B 2L4,CA,43.7139063,-79.2984113,416-752-0888,www.victoriaparkpharmacy.com,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 6:30 p.m.
Saturday: 9:30 a.m. to 3 p.m.",-,40+,
Vina Pharmacy,Pharmacy,"1025 Gerrard Street East, Toronto, ON",Toronto,Ontario,M4M 1Z6,CA,43.6686901,-79.3372617,416-469-5386,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 7 p.m.
Saturday: 10:30 a.m. to 3 p.m.",-,40+,
Wal-Mart Pharmacy,Pharmacy,"2202 Jane Street, Toronto, ON",Toronto,Ontario,M3M 1A4,CA,43.7224301,-79.510771,,www.walmart.ca/en/covid19-vaccinations-centre-info,AstraZeneca,Appoinment/Booking,Monday - Sunday: 7 a.m. to 10 p.m.,-,40+,
Wal-Mart Pharmacy,Pharmacy,"2245 Islington Avenue, Toronto, ON",Toronto,Ontario,M9W 3W7,CA,43.7138049,-79.5531438,,www.walmart.ca/en/covid19-vaccinations-centre-infoo,AstraZeneca,Appoinment/Booking,Monday - Sunday: 7 a.m. to 11 p.m.,-,40+,
Wal-Mart Pharmacy,Pharmacy,"1305 Lawrence Avenue West, Toronto, ON",Toronto,Ontario,M6L 1A5,CA,43.7085041,-79.4733767,,www.walmart.ca/en/covid19-vaccinations-centre-info,AstraZeneca,Appoinment/Booking,Monday - Sunday: 7 a.m. to 11 p.m.,-,40+,
Wal-Mart Pharmacy,Pharmacy,"2525 St. Clair Avenue West, Toronto, ON",Toronto,Ontario,M6N 4Z5,CA,43.6680541,-79.4845815,416-763-1867,www.walmart.ca/en/covid19-vaccinations-centre-info,AstraZeneca,Appoinment/Booking,Monday - Sunday: 7 a.m. to 11 p.m.,-,40+,
Welcome Guardian Drugs (Roncesvalles),Pharmacy,"137 Roncesvalles Avenue, Toronto, ON",Toronto,Ontario,M6R 2L2,CA,43.6433558,-79.4474712,416-533-2088,roncesvallesguardianpharmacy.com/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Welcome Guardian Pharmacy,Pharmacy,"1881 Yonge Street, Toronto, ON",Toronto,Ontario,M4S 3C4,CA,43.6976717,-79.3960999,416-480-1420,www.davisvilleguardianpharmacy.ca,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Well+Good Pharmacy,Pharmacy,"557 Church Street, Toronto, ON",Toronto,Ontario,M4Y 2E2,CA,43.6672314,-79.3812547,416-532-5007,wellandgoodpharmacy.com,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 6 p.m.
Saturday: 9 a.m. to 4 p.m.",-,40+,
Weston Jane Pharmacy,Pharmacy,"1292 Weston Road, Toronto, ON",Toronto,Ontario,M6M 4R3,CA,43.6890937,-79.4957704,647-344-9111,,Pfizer,Appoinment/Booking,"Monday - Friday: 10 a.m. to 6 p.m.
Saturday: 9 a.m. to 1 p.m.",-,18+,
